台灣頻道,#genre#
民視,http://ocnlava.us.kg/ublive.php?id=336
民視,http://ocnlava.us.kg/ublive.php?id=2805
台視,http://ocnlava.us.kg/ublive.php?id=27
台視,http://ocnlava.us.kg/ublive.php?id=326
台視,http://ocnlava.us.kg/ublive.php?id=312
中視,http://ocnlava.us.kg/ublive.php?id=333
中視,http://ocnlava.us.kg/ublive.php?id=1041
華視,http://ocnlava.us.kg/ublive.php?id=32
華視,http://ocnlava.us.kg/ublive.php?id=2282
公視,http://ocnlava.us.kg/ublive.php?id=86
公視,http://ocnlava.us.kg/ublive.php?id=28
好消息,http://ocnlava.us.kg/ublive.php?id=104
客家電視,http://ocnlava.us.kg/ublive.php?id=76
八大第一,http://ocnlava.us.kg/ublive.php?id=318
八大綜合,http://ocnlava.us.kg/ublive.php?id=3258
八大綜合,http://ocnlava.us.kg/ublive.php?id=2286
東風衛視,http://ocnlava.us.kg/ublive.php?id=3262
三立臺灣,http://ocnlava.us.kg/ublive.php?id=35
三立臺灣,http://ocnlava.us.kg/ublive.php?id=2436
三立臺灣,http://ocnlava.us.kg/ublive.php?id=21
三立都會,http://ocnlava.us.kg/ublive.php?id=2435
三立都會,http://ocnlava.us.kg/ublive.php?id=1001
三立都會,http://ocnlava.us.kg/ublive.php?id=38
東森綜合,http://ocnlava.us.kg/ublive.php?id=372
東森綜合,http://ocnlava.us.kg/ublive.php?id=3254
東森超視,http://ocnlava.us.kg/ublive.php?id=80
東森購物2,http://ocnlava.us.kg/ublive.php?id=1156
中天綜合,http://ocnlava.us.kg/ublive.php?id=3072
中天綜合,http://ocnlava.us.kg/ublive.php?id=54
中天娛樂,http://ocnlava.us.kg/ublive.php?id=324
TVBS歡樂,http://ocnlava.us.kg/ublive.php?id=40
八大精彩,http://ocnlava.us.kg/ublive.php?id=1024
JET綜合,http://ocnlava.us.kg/ublive.php?id=41
東森購物1,http://ocnlava.us.kg/ublive.php?id=1155
TVBS,http://ocnlava.us.kg/ublive.php?id=2273
TVBS,http://ocnlava.us.kg/ublive.php?id=16
緯來育樂,http://ocnlava.us.kg/ublive.php?id=338
緯來育樂（測試）,http://ocnlava.us.kg/ublive.php?id=2772
緯來日本,http://ocnlava.us.kg/ublive.php?id=46
國興衛視,http://ocnlava.us.kg/ublive.php?id=65
國興衛視-備,http://ocnlava.us.kg/ublive.php?id=3261
信大電視,http://ocnlava.us.kg/ublive.php?id=422
八大娱乐,http://ocnlava.us.kg/ublive.php?id=105
公視3台,http://ocnlava.us.kg/ublive.php?id=1340
好消息2,http://ocnlava.us.kg/ublive.php?id=363
高點綜合,http://ocnlava.us.kg/ublive.php?id=99
中天亞洲,http://ocnlava.us.kg/ublive.php?id=2277
中天亞洲,http://ocnlava.us.kg/ublive.php?id=322
民視第一台,http://ocnlava.us.kg/ublive.php?id=34
民視台灣,http://ocnlava.us.kg/ublive.php?id=36
龍華日韓,http://ocnlava.us.kg/ublive.php?id=382
豬哥亮歌廳秀,http://ocnlava.us.kg/ublive.php?id=75
豬哥會社,http://ocnlava.us.kg/ublive.php?id=103
ELTA娛樂台,http://ocnlava.us.kg/ublive.php?id=351
韓國娛樂,http://ocnlava.us.kg/ublive.php?id=73
靖天國際,http://ocnlava.us.kg/ublive.php?id=345
靖天育樂,http://ocnlava.us.kg/ublive.php?id=1029
靖天日本,http://ocnlava.us.kg/ublive.php?id=108
靖天歡樂,http://ocnlava.us.kg/ublive.php?id=51
三立綜合,http://ocnlava.us.kg/ublive.php?id=315
三立綜合,http://ocnlava.us.kg/ublive.php?id=2815
靖天資訊,http://ocnlava.us.kg/ublive.php?id=49
靖天綜合,http://ocnlava.us.kg/ublive.php?id=308
中視經典,http://ocnlava.us.kg/ublive.php?id=185
中視菁采,http://ocnlava.us.kg/ublive.php?id=74
TVBS精采,http://ocnlava.us.kg/ublive.php?id=66
TVBS精采,http://ocnlava.us.kg/ublive.php?id=117
年代much,http://ocnlava.us.kg/ublive.php?id=1359
ELTA綜合,http://ocnlava.us.kg/ublive.php?id=1137
TVN台湾版,http://ocnlava.us.kg/ublive.php?id=2288
東森購物3,http://ocnlava.us.kg/ublive.php?id=1584
MOMO購物1,http://ocnlava.us.kg/ublive.php?id=1585
MOMO購物2,http://ocnlava.us.kg/ublive.php?id=1586
美好購物1,http://ocnlava.us.kg/ublive.php?id=1591
美好購物2,http://ocnlava.us.kg/ublive.php?id=1592
